"","ALDH3B1","ALG1L","APC","C7","CAV1","CENPI","CST1","EPHA6","FAM83A","FOSB","GABRP","GJB6","GKN2","GPRC5A","GTSF1","H2AC14","IRS1","KREMEN2","LARGE2","LINC00887","LINC01910","LINC02605","LY6D","MAGEA10","MAGI2","MMP20","PCAT7","PITX2","TLX3","TNS4","WSCD2","status"
"TCGA.77.A5G1.01A",10.4512111118323,9.2336196767597,11.5708044377245,12.6515002206527,16.1820063130996,9.78463484555752,6.35755200461808,1,13.1777309670333,12.0091287895393,6.97727992349992,12.075479149488,6.78135971352466,15.0983611273321,11.9950604670327,3.32192809488736,12.5323559252888,9.17990909001493,14.3931222735895,5.85798099512757,5.85798099512757,5.95419631038687,8.43462822763673,6.08746284125034,8.45121111183233,4.58496250072116,2.58496250072116,2.58496250072116,1,14.1037795524516,7.82017896241519,"0"
"TCGA.56.7823.11A",14.1820839295107,7.82017896241519,12.3111806600534,13.8488185203172,17.1948145549152,7.68650052718322,4.4594316186373,3.32192809488736,6.61470984411521,15.7164443804429,8.12928301694497,4,11.7557221536423,16.9371209033683,6.04439411935845,2,11.4635243732712,5.4594316186373,9.48381577726426,3,2,8.45121111183233,4.16992500144231,2,10.2667865406949,2,4,3.32192809488736,1,9.43462822763673,5.90689059560852,"0"
"TCGA.21.1076.01A",12.1163439612375,10.6366246205436,11.8948177633079,13.0944076330812,13.5859014496908,9.88264304936184,12.7163907894977,4.70043971814109,9.64024493622235,12.496853777388,7.98868468677217,13.1876613657391,8.4594316186373,13.9567391450591,7.10852445677817,4.8073549220576,11.2620948453702,6.6724253419715,11.2276159434142,5.39231742277876,3.8073549220576,5.70043971814109,10.4797802640291,9.70735913208088,10.2900188469326,3,6.16992500144231,6.90689059560852,7.56985560833095,13.0344550953272,9.01680828768655,"0"
"TCGA.66.2765.01A",10.5755392468345,10.4696418172395,10.5255208090951,9.98868468677217,15.7854013803191,9.91587937883577,8.467605550083,2.58496250072116,14.6308358989513,10.4817994316658,10.0794847838268,14.3387363825739,7.61470984411521,13.739569674026,5.32192809488736,4.90689059560852,13.2989217409698,8.39231742277876,13.4642904738508,6.95419631038687,1,5.64385618977472,15.6564807286398,1,7.52356195605701,5,5.52356195605701,1,1,16.6591597251914,4.16992500144231,"0"
"TCGA.85.8351.01A",10.958552715431,9.11894107272351,11.6193029554157,11.8225708309502,13.3023533264312,9.66533591718518,5.58496250072116,8.38370429247405,10.9886846867722,14.9453523847573,6.08746284125034,8.14974711950468,8.4178525148859,14.7448338374995,4.16992500144231,3.32192809488736,13.6325408765469,9.45121111183233,14.2030420555625,5.24792751344359,4.16992500144231,6.20945336562895,8.72109918870719,5.24792751344359,7.37503943134692,1,5.85798099512757,1,2,15.036774610288,4,"0"
"TCGA.66.2756.01A",11.6257088430645,9.61838550225861,10.3531468254981,7.8703647195834,10.7262181593322,9.48784003382305,8.94251450533924,8.11894107272351,11.2819300269554,9.21916852046216,3.8073549220576,4.58496250072116,2,10.8548683832602,10.876516946565,2,10.3174126137649,6.85798099512757,13.6298119443822,4.4594316186373,1,3,6.4594316186373,12.1247675358225,7.22881869049588,2,7,10.5117526537674,2.58496250072116,8.70043971814109,3.8073549220576,"0"
"TCGA.43.2581.01A",12.2185632361903,8.8008998999203,11.8265484872909,11.1674181458317,11.4146852358072,10.3944626946103,8.70043971814109,1,11.9865531497567,13.7260052311286,4.90689059560852,12.567480801143,3.32192809488736,15.867954362086,6.6724253419715,3.58496250072116,13.5555477716471,6.49185309632967,12.7540523675289,4.58496250072116,1,6.88264304936184,4.16992500144231,2,8.53915881110803,1,5.16992500144231,1,1,6.97727992349992,5.32192809488736,"0"
"TCGA.60.2714.01A",13.8730595476615,8.09803208296053,10.590587049915,11.5574637015978,12.2366122002158,10.0714623625566,7.4757334309664,2.58496250072116,15.4799696810898,10.6036263449862,8.21916852046216,4,7.02236781302845,15.5168080409048,4.90689059560852,1,12.4630134134497,10.1996723448364,13.1510165388922,4.70043971814109,1,4.8073549220576,14.360984215974,1,8.97727992349992,3.58496250072116,6.8073549220576,1,1,11.2888660741658,3.8073549220576,"0"
"TCGA.85.A513.01A",11.5565060546719,4.58496250072116,10.813781191217,11.8217739819706,13.2868465027359,7.53915881110803,9.43879185257826,1,12.1286388128526,14.5866052606036,5.95419631038687,5.32192809488736,9.24792751344359,15.2350418993968,6.55458885167764,2,10.6564248632778,6.49185309632967,11.7515440590891,5.24792751344359,1,5.4594316186373,8.85174904141606,2,7.91886323727459,3.58496250072116,6.12928301694497,8.34872815423108,1,11.403012023575,5.39231742277876,"0"
"TCGA.51.4081.11A",14.704984324893,6.85798099512757,12.8807314351417,16.6490035040967,17.0300204681068,7.82017896241519,9.01122725542325,4.16992500144231,8.82654848729091,18.8628370992709,7.96578428466209,8.4093909361377,11.5333297323058,17.9023044478337,7.24792751344359,3,13.017852331906,6.8073549220576,10.7927902943011,3.8073549220576,2.58496250072116,10.1446582428319,8.27612440527424,3.58496250072116,10.9915218460757,1,3.58496250072116,2.58496250072116,2,10.4470832262097,8.70043971814109,"0"
