"","IL6","PPFIA4","CACNA1I","CDKN2A","PLAAT1","PLXNB3","C14orf39","LINC01549","ONECUT3","PRSS3","IMPDH1P8","KIAA0895LP1","RCOR2","FAM72C","RAD51AP2","SMC1B","FTCD","PPP1R27","GINS2","WNK2","COL4A3","ESCO2","SH2D5","AQP1","MYOSLID","PDE10A","DUXAP9","NLRP10","VCAN","NUS1P2","status"
"TCGA.77.A5GA.01A",10.4737057496194,9.96866679319521,6.4262647547021,4.16992500144231,6.52356195605701,10.6952282914958,2.58496250072116,3.58496250072116,6.04439411935845,8.52356195605701,5,3,7.06608919045777,2.58496250072116,5.52356195605701,6.28540221886225,5.24792751344359,3.8073549220576,11.4655664048094,11.5245417150358,7.61470984411521,9,6.97727992349992,12.3253054550897,6.58496250072116,7.24792751344359,3.32192809488736,2,11.4346282276367,2,"0"
"TCGA.85.7697.01A",8.97727992349992,8.86418614465428,7.76818432477693,13.6494807389686,8.6724253419715,10.6899979714194,5.8073549220576,4,2.58496250072116,9.05528243550119,3.8073549220576,5.90689059560852,9.34872815423108,6.49185309632967,5.85798099512757,6.61470984411521,5.64385618977472,4.90689059560852,10.4635243732712,12.782588759495,7.91886323727459,10.2597432636908,7.22881869049588,14.0484868739923,7.53915881110803,9.23840473932508,6.78135971352466,5.39231742277876,14.7693213225395,6.49185309632967,"0"
"TCGA.NK.A5D1.01A",7,12.0559602344523,9.27146302790437,5.16992500144231,9.00562454919388,10.0498485494506,7.65821148275179,2.58496250072116,4,7.85798099512757,6.12928301694497,5.52356195605701,12.3608470841797,7.39231742277876,2,7.94251450533924,6.35755200461808,3.32192809488736,12.4812949046311,12.567480801143,8.28540221886225,10.4573808790725,7.8703647195834,13.3998119593257,4.16992500144231,10.5774288280357,6.8073549220576,1,14.243173983473,5,"0"
"TCGA.L3.A4E7.01A",8.45121111183233,11.2714630279044,5.39231742277876,13.7391477099865,9.12412131182919,13.4681148863781,5.85798099512757,4,8.05528243550119,5.58496250072116,5.52356195605701,4.16992500144231,10.1996723448364,3.8073549220576,7.37503943134692,4.16992500144231,4.32192809488736,5,9.91587937883577,10.6474584264549,9.94544383637791,9.8008998999203,8.67948009950545,14.4714211964249,7.62935662007961,10.8579809951276,5.32192809488736,2,13.6456584324087,5.64385618977472,"0"
"TCGA.21.5786.01A",7,9.79116288855502,7.52356195605701,14.3440184398813,9.3037807481771,10.6456584324087,6.20945336562895,2,3.58496250072116,4.58496250072116,5,6.39231742277876,10.4387918525783,7,5.4594316186373,6.04439411935845,5.24792751344359,3.32192809488736,12.9954138522252,11.3880172853451,6.20945336562895,10.4655664048094,9.61838550225861,11.9351650496037,8.59991284218713,7.44294349584873,6.24792751344359,3.58496250072116,14.292321632802,6.70043971814109,"0"
"TCGA.58.A46J.01A",11.8073549220576,10.8344710499842,6.83289001416474,13.093417564388,9.2045711442492,11.292321632802,1,3.32192809488736,3.58496250072116,5.4594316186373,6.52356195605701,5.85798099512757,10.9322147519684,6.85798099512757,5.39231742277876,8.56985560833095,5.64385618977472,6.16992500144231,11.2679570844028,11.286557761608,8.82017896241519,10.6688849842662,6.90689059560852,15.6881956605587,5.39231742277876,9.5352753766208,6.61470984411521,1,13.6562013801946,7.12928301694497,"0"
"TCGA.56.8305.01A",9.06608919045777,9.61838550225861,7.65821148275179,5.24792751344359,6.95419631038687,11.3641346550081,5.52356195605701,2.58496250072116,5.64385618977472,9.38370429247405,4.90689059560852,5.70043971814109,10.7056323873614,6.16992500144231,4.8073549220576,6.12928301694497,6.20945336562895,4.58496250072116,10.8297227350861,11.120237877342,7.4262647547021,10.0112272554233,7.58496250072116,12.7082217300384,10.5097750043269,6.4262647547021,7.16992500144231,9.13955135239879,14.0244471240406,6.95419631038687,"0"
"TCGA.NC.A5HO.01A",4.8073549220576,8.54689445988764,5.16992500144231,10.6865005271832,3.32192809488736,10.5313814605163,4,2.58496250072116,2,7.33985000288462,4.16992500144231,5.64385618977472,7.90689059560852,6.08746284125034,4.4594316186373,5.75488750216347,5.70043971814109,5.39231742277876,9.82972273508606,13.1978309980122,4.58496250072116,9.74146698640115,6.08746284125034,10.2761244052742,4.16992500144231,5.90689059560852,7.4262647547021,1,11.664447284548,2.58496250072116,"0"
"TCGA.85.7950.01A",11.1873520732005,11.8153832958135,6.61470984411521,13.4141566792741,6.04439411935845,9.80413102118332,5.24792751344359,2,2.58496250072116,3.58496250072116,6,6.04439411935845,11.0914353863236,6.28540221886225,6.12928301694497,8.63662462054365,6.12928301694497,3.8073549220576,10.5603328342124,15.7529032674754,9.64385618977473,9.77478705960117,5.70043971814109,13.3074854485895,8.54689445988764,8.64385618977472,5.16992500144231,3,15.3592691309615,6.04439411935845,"0"
"TCGA.63.7022.01A",6.90689059560852,8.4594316186373,6.08746284125034,10.3151495622563,7.79441586635011,10.1497471195047,4,2,3,7.94251450533924,3,5.16992500144231,9.29001884693262,3.58496250072116,5.24792751344359,6.70043971814109,4.8073549220576,4.16992500144231,9.62935662007961,11.240791332162,8.15987133677839,8.15987133677839,6.49185309632967,13.0136716140586,5.64385618977472,8.88874324889826,6.83289001416474,2,16.2915664362781,4.32192809488736,"0"
"TCGA.33.4547.01A",8.05528243550119,9.36632221424582,8.68650052718322,12.9693865213423,9.33539035469392,11.5830827675029,4.8073549220576,4.4594316186373,5.08746284125034,5.90689059560852,3.8073549220576,7.14974711950468,8.6582114827518,5.4594316186373,5.8073549220576,6.04439411935845,5.24792751344359,5.85798099512757,10.2807707701306,11.2854022188622,8.86418614465428,9.70043971814109,5.52356195605701,13.7517532514393,8.59245703726808,10.3553510964248,6.58496250072116,1,15.1059903287918,7.44294349584873,"0"
"TCGA.37.4129.01A",8.14974711950468,8.58496250072116,11.0620461377205,7.28540221886225,9.63662462054365,9.93073733756289,9.56985560833095,2,2.58496250072116,2.58496250072116,4.32192809488736,6.24792751344359,9.55458885167764,2,1,3.8073549220576,6.70043971814109,3,10.6402449362223,13.959096342282,9.70390357344466,6.7279204545632,4.70043971814109,14.3459595964041,3.32192809488736,10.0084286220706,4.16992500144231,1,12.5255208090951,3.58496250072116,"0"
