"","LINC00640","KRT17P1","GSDMC","EIF4G1","FOXG1","H2BC9","HMGB3P6","CSTL1","ATF7IP","RNF222","EGF","FAM83A","GCGR","KRT75","LINC00887","TMPRSS11D","SBSN","VIL1","BMP7","TFAP2A","PLXNB3","CDT1","COL9A3","TMPRSS4","LINC02830","DSEL","NLGN1","GNG4","SLC9A2","CENPI","status"
"TCGA.66.2800.01A",6.7279204545632,4.58496250072116,10.2992080183873,16.1630599623942,1,9.26209484537018,3.32192809488736,4.8073549220576,12.5033288566267,5.58496250072116,9.18487534290828,9.61102479730735,6.16992500144231,4.8073549220576,3.58496250072116,10.4136279290242,12.2082343583398,6.55458885167764,13.3165643853969,11.243173983473,9.86108690599539,11.5449644327892,7.95419631038687,15.0903605683403,4.70043971814109,9.49585502688717,8.78135971352466,9.68650052718322,11.0768155970508,9.51175265376738,"0"
"TCGA.63.A5MJ.01A",7.20945336562895,7.06608919045777,11.0512089409148,17.1465090129897,3.32192809488736,10.7764330324447,4.4594316186373,3,13.591756076023,5.24792751344359,9.71080643369935,11.5028318040667,2.58496250072116,4.70043971814109,6.35755200461808,7.55458885167764,12.7334390828994,3,14.7480879987561,12.3370643386847,10.7364019313183,13.1680452682241,6.28540221886225,15.1067265020392,3.58496250072116,8.18982455888002,6.88264304936184,10.0980320829605,9.44708322620965,10.5507467853832,"0"
"TCGA.39.5037.01A",7.33985000288462,7.04439411935845,10.7313190310251,16.2251321062884,4.32192809488736,8.17990909001493,3.58496250072116,4.8073549220576,12.661778097772,5.08746284125034,10.1623913287569,9.28540221886225,5.90689059560852,7.4594316186373,5.39231742277876,12.7099453802325,11.2191685204622,3.32192809488736,13.9943534368589,11.4019461239765,9.09803208296053,13.2422809503024,9.02790599656988,14.9289809406025,7.61470984411521,10.1006623390052,8.43462822763673,10.1163439612375,11.2203783276952,9.89784545600551,"0"
"TCGA.22.5471.01A",6.20945336562895,6.08746284125034,10.1241213118292,16.5244192815448,1,6.61470984411521,1,5.58496250072116,13.4961047793401,5.90689059560852,9.48784003382305,9.92481250360578,4.8073549220576,11.3728650601126,5.75488750216347,13.1904420187828,12.6425030287805,10.0028150156071,12.9628960053373,12.6352646565395,10.2900188469326,13.1241213118292,7.8703647195834,15.1885888457073,7.71424551766612,6.70043971814109,6.93073733756289,10.6183855022586,10.616548843779,10.6402449362223,"0"
"TCGA.NK.A7XE.01A",6.61470984411521,3.58496250072116,10.8201789624152,15.3722529272807,1,2,2,5,11.9607259948391,3.58496250072116,9.24792751344359,12.919980595049,8.4178525148859,6.4262647547021,4.32192809488736,6.90689059560852,7.39231742277876,5.32192809488736,13.2134080408583,11.7030383889864,11.2021238238305,11.0552824355012,8.07681559705083,13.0596824472476,7.64385618977472,2.58496250072116,7.35755200461808,6.83289001416474,6.61470984411521,9.7176764230664,"0"
"TCGA.66.2758.01A",6.04439411935845,2,10.9381093262192,16.7744010129207,5.32192809488736,2.58496250072116,3,4,13.6613327527952,3.32192809488736,9.49585502688717,8.44294349584873,5.16992500144231,3.8073549220576,3.58496250072116,6.70043971814109,7.79441586635011,4.70043971814109,10.6456584324087,9.6724253419715,11.843921051289,12.1541852092653,7.53915881110803,14.991610417463,2.58496250072116,10.7515440590891,8.88264304936184,8.63662462054365,9.91886323727459,10.6348110501717,"0"
"TCGA.NK.A5CT.01A",5.58496250072116,7.18982455888002,12.3706874068072,15.7708187245166,1,8.94836723158468,3.8073549220576,6.61470984411521,12.334831928118,5.32192809488736,6.16992500144231,16.0296754598749,2.58496250072116,3.8073549220576,7.6724253419715,11.8917837032183,5.64385618977472,2,4.70043971814109,13.7010898248172,12.5347892114803,11.4726908392428,3,14.3255865452106,9.65105169117893,11.2644426002266,3.8073549220576,11.9527412471865,9.08214904135387,9.57742882803575,"0"
"TCGA.46.6025.01A",7.7279204545632,5.24792751344359,11.5717526435035,18.0957060679802,2,8.24792751344359,1,4.90689059560852,15.094242668809,4.16992500144231,10.0525680508042,16.2150779148228,4.8073549220576,8.77478705960117,7.44294349584873,5.8073549220576,5.95419631038687,2.58496250072116,14.5069273753449,12.8849336479498,12.0861362250273,12.5703301010308,6.39231742277876,14.9325838692893,7.61470984411521,11.2888660741658,9.24317398347295,6.12928301694497,4.58496250072116,9.46352437327118,"0"
"TCGA.85.8071.01A",8.39231742277876,5.85798099512757,10.8217739819706,15.2192441631436,2,10.5622424242211,3,1,13.0080784108683,4.58496250072116,9.59618975614441,14.4938554492408,7.24792751344359,7.6724253419715,2,12.5362472156881,8.15987133677839,5,12.3353903546939,12.2419831496943,11.7313190310251,10.5774288280357,7.91886323727459,12.6284455401372,2,7.22881869049588,3.8073549220576,5.4594316186373,4.32192809488736,9.93957921431469,"0"
"TCGA.98.8021.01A",5.08746284125034,5.32192809488736,11.1085244567782,16.5895926323885,3.58496250072116,6.16992500144231,2.58496250072116,4,13.0707918094231,3.58496250072116,7.8703647195834,11.471675214392,7.88264304936184,10.1421070573025,4.8073549220576,10.7813597135247,7.37503943134692,6.28540221886225,13.283088353024,12.2737955992143,11.140829770773,11.5410966153495,9.56985560833095,15.0260911225259,6.58496250072116,10.0633950812885,8.94836723158468,11.6829945836817,9.61838550225861,9.33091687811462,"0"
